Potential Misspelling,Original Text
draculavampire,Vampires. Just like Castlevania even though I never saw or know what it is about. But the one thing I know about Castlevania is the Dracula/Vampire. I imagine a darkened evening with black trees in the background. Black bats are flying up in the air towards the castle that is looming in the distance. You can barely see the slightest hint of a cape through the windows.
beegees,"I had the imagination of the beginning of a sitcom. The ones like Reba, Home Improvement, or even Everybody Loves Raymond. I also imagine a studio set with the audience at the back to add to the laugh tracks. At the same time, I also thought about the Beegees just loitering around."
xmen,This reminded me of the Playstation loading screen while growing up. It had that very meditation like noise. I am reminded of waiting for my cousins to finish and play the X-men games on the Playstation 2 at Grandma's house.
2,This reminded me of the Playstation loading screen while growing up. It had that very meditation like noise. I am reminded of waiting for my cousins to finish and play the X-men games on the Playstation 2 at Grandma's house.
2010,I am suddenly reminded of the 2010's. This type of music was popular and I heard it all the time during Junior High and High School. I can hear it on the television such as America's Got Talent or The Voice.
favourite,it gave me a calming effect because Jazz is something I like to listen to. Makes me reminisce about my time in a coffee shop where i'd drink and read my favourite book.
80,This music piece typically reminds me of the old 80's retro movies so i start thinking about movies from that generation.
vey,it was a vey hyper soundtrack so it made me think about my trips at the bar and how vibrant it was there too.
ve,This felt like a movie to listen to as i've heard many similar peices and it was fun to listen to and compare to the past
peices,This felt like a movie to listen to as i've heard many similar peices and it was fun to listen to and compare to the past
thrillerhorror,this evoked negative emotions on me as it reminded me of those thriller/horror games which caused me a lot of tension in the past
endeavours,It felt very rock like so i was in tune with the music thinking a lot about my past party endeavours so therefore it invoked a lot of memories
befre,The music put me in mind of an befre schl ver 
schl,The music put me in mind of an befre schl ver 
ver,The music put me in mind of an befre schl ver 
rockmetal,that sounded exactly like a hard rock/metal version of the dr who theme tune so I imagined peter capaldi's credits
capaldi,that sounded exactly like a hard rock/metal version of the dr who theme tune so I imagined peter capaldi's credits
smokefilled,I imagine a smoke-filled jazz bar in the 1920s very bugsy malne vibes
